Station,SPEI,Lead Time,Model,MAE,MSE,RMSE,RRMSE (%),R2
Pokhara_Airport,SPEI-6,Lead 30,LSTM,0.058670417796562346,0.005707067556916166,0.07554513589183731,7.993653726509899,0.6846134364938739
Pokhara_Airport,SPEI-6,Lead 30,Transformer,0.05876919720568752,0.005003075016828718,0.07073241842909599,7.484405891735162,0.7235177924941913
Dhangadhi,SPEI-6,Lead 30,Random Forest,0.027932712167812113,0.0032940806180059303,0.05739408173327569,6.103709949286669,-1.405402590945351
Dhangadhi,SPEI-6,Lead 30,LSTM,0.0699328842004105,0.006817671262357253,0.08256919075755347,8.78101671655866,-3.9783979265859832
Dhangadhi,SPEI-6,Lead 30,Transformer,0.05443380549994109,0.004851878954909767,0.06965543018968275,7.40767217509317,-2.542937639503808
Dadeldhura,SPEI-6,Lead 30,Random Forest,0.07199725790954137,0.01430649037134415,0.1196097419583545,13.041529762039131,0.2071131466054703
Dadeldhura,SPEI-6,Lead 30,LSTM,0.06940679172771469,0.008930018122747385,0.09449877312826545,10.303580143643778,0.5050851895665828
Dadeldhura,SPEI-6,Lead 30,Transformer,0.11502339253837478,0.019189101908839712,0.13852473392445017,15.10390717909314,-0.06348840540528711
Surkhet_Airport,SPEI-6,Lead 30,Random Forest,0.03061586996020572,0.0013989102391126947,0.03740200849035643,3.8818554463007513,0.47446684340607226
Surkhet_Airport,SPEI-6,Lead 30,LSTM,0.04897470922095065,0.0036371116230958524,0.06030847057500176,6.259256505436086,-0.36636554564245016
Surkhet_Airport,SPEI-6,Lead 30,Transformer,0.08229222326240682,0.009628537409865403,0.0981251110056208,10.184145503155168,-2.6171839456967825
Biratnagar_Airport,SPEI-6,Lead 30,Random Forest,0.07060313749762769,0.00990548258651465,0.09952629093116376,12.029759869330343,0.34466478088563013
Biratnagar_Airport,SPEI-6,Lead 30,LSTM,0.11929169077222017,0.02261675275821263,0.1503886723068351,18.177504637140625,-0.4962980849248988
Biratnagar_Airport,SPEI-6,Lead 30,Transformer,0.08673703269659237,0.013137205451369895,0.11461764895237511,13.853854903905969,0.13085775096463526
Khumaltar,SPEI-6,Lead 30,Random Forest,0.09936399265148552,0.061898740011118704,0.24879457391815984,27.317805458443168,-0.6634724740253197
Khumaltar,SPEI-6,Lead 30,LSTM,0.08885385993131799,0.018255353329883473,0.13511237297110681,14.83542611772331,0.5094039432399944
Khumaltar,SPEI-6,Lead 30,Transformer,0.10842467413165194,0.026945288778170033,0.1641502018828184,18.023798551467106,0.2758698128734478
Dipayal,SPEI-6,Lead 30,Random Forest,0.06277191414518707,0.024587365886316444,0.15680359015761228,17.88203884032603,-1.0829134962634077
Dipayal,SPEI-6,Lead 30,LSTM,0.19181375744771034,0.1614718358914097,0.4018355831573527,45.82573331530318,-12.679052396248167
Dipayal,SPEI-6,Lead 30,Transformer,0.15627700560109553,0.07283356220008294,0.26987693899272486,30.777037058433194,-5.170079803950116
Okhaldhunga,SPEI-6,Lead 30,Random Forest,0.20237266143318747,0.45123799287617444,0.6717425048902105,83.59968180380827,0.12681976859650868
Okhaldhunga,SPEI-6,Lead 30,LSTM,0.21280049597205583,0.45325573812478454,0.6732427037293346,83.78638451307589,0.12291527630882548
Okhaldhunga,SPEI-6,Lead 30,Transformer,0.2585587313389007,0.4601612272866892,0.6783518462322404,84.42222739099985,0.10955262351907946
Kathmandu_Airport,SPEI-6,Lead 30,Random Forest,0.02160880428864344,0.0007808055837464535,0.027942898628210595,2.987456996148821,0.9228834055672014
Kathmandu_Airport,SPEI-6,Lead 30,LSTM,0.06314478566322694,0.005007040389259373,0.07076044367624734,7.565205933853289,0.5054775336589525
Kathmandu_Airport,SPEI-6,Lead 30,Transformer,0.10302207445364053,0.014008625599671722,0.11835803986071974,12.654004115213418,-0.3835678450803752
Nepalgunj_Airport,SPEI-6,Lead 60,Random Forest,0.09536664610698375,0.07553529990478046,0.2748368605278056,30.036900540777527,-7.272311334726879
Nepalgunj_Airport,SPEI-6,Lead 60,LSTM,0.06483466473303416,0.009371273015059557,0.09680533567453582,10.57984811021532,-0.02630277606657261
Nepalgunj_Airport,SPEI-6,Lead 60,Transformer,0.06879744249023796,0.009772558790823687,0.09885625317006348,10.803992734456042,-0.07024992230816984
Parwanipur,SPEI-6,Lead 60,Random Forest,0.029767819428197825,0.0012407537309266831,0.03522433435746775,3.7599947830810145,0.7531797571871601
Parwanipur,SPEI-6,Lead 60,LSTM,0.0607026823766004,0.005490783818410799,0.07409982333589467,7.909729289493894,-0.09226880525338332
Parwanipur,SPEI-6,Lead 60,Transformer,0.04553638808981853,0.0030948308694483226,0.055631204098494244,5.938310574277969,0.3843525208734231
Jumla,SPEI-6,Lead 60,Random Forest,0.1058902783740417,0.023813116570080478,0.15431499139772675,16.155141488342,-0.7021825601168961
Jumla,SPEI-6,Lead 60,LSTM,0.08460160603148052,0.00919940407048776,0.09591352391862036,10.041127796567485,0.34241848914781814
Jumla,SPEI-6,Lead 60,Transformer,0.143774067325744,0.022935959844736134,0.1514462275685206,15.854812368418623,-0.6394826243073035
Dhankuta,SPEI-6,Lead 60,Random Forest,0.06630189201177893,0.008467769555535742,0.09202048443436789,9.698518948220073,0.5821326311147531
Dhankuta,SPEI-6,Lead 60,LSTM,0.08355322906144727,0.009093479896577331,0.0953597393902549,10.050460449742015,0.5512550863043362
Dhankuta,SPEI-6,Lead 60,Transformer,0.13392560577809778,0.025526308270754187,0.15976954738232874,16.83894615596417,-0.25967188933248075
Taplejung,SPEI-6,Lead 60,Random Forest,0.04222299156203064,0.0033206199589980736,0.05762482068517067,6.248523361061992,0.8032452449050115
Taplejung,SPEI-6,Lead 60,LSTM,0.054330850011780514,0.004244923536151987,0.06515307771818601,7.064846767877922,0.7484780248672169
Taplejung,SPEI-6,Lead 60,Transformer,0.06802266648234258,0.006127102110428082,0.0782758079512954,8.487804539330043,0.636954397050902
Pokhara_Airport,SPEI-6,Lead 60,Random Forest,0.033371683981372136,0.002067608817054751,0.04547096674862709,4.808286231829138,0.8851659815146972
Pokhara_Airport,SPEI-6,Lead 60,LSTM,0.07060615423917299,0.007836548545435508,0.08852428223620629,9.360920118808757,0.564761789994009
Pokhara_Airport,SPEI-6,Lead 60,Transformer,0.07006762778644259,0.007778110158352176,0.08819359476941722,9.325951871874611,0.5680074304494109
Dhangadhi,SPEI-6,Lead 60,Random Forest,0.02060220841726035,0.0005384716946659166,0.023204992882263863,2.475010984621022,0.5983116664826542
Dhangadhi,SPEI-6,Lead 60,LSTM,0.060803412967672374,0.005085916251630382,0.07131561015395144,7.606419851173013,-2.7939844262263414
Dhangadhi,SPEI-6,Lead 60,Transformer,0.06977316798376539,0.00670095234261154,0.08185934487040279,8.730999348979832,-3.9987667061177437
Dadeldhura,SPEI-6,Lead 60,Random Forest,0.08524850487755983,0.020420426422777235,0.14290005746247003,15.839564756748835,-0.0462139583927863
Dadeldhura,SPEI-6,Lead 60,LSTM,0.08986215259927226,0.01449708530656283,0.12040384257390971,13.346002060997844,0.2572607109311169
Dadeldhura,SPEI-6,Lead 60,Transformer,0.12752284003671444,0.02450689647463532,0.1565467868550336,17.35221812981069,-0.2555789305188958
Surkhet_Airport,SPEI-6,Lead 60,Random Forest,0.03149407024351281,0.0016238613977944904,0.040297163644535706,4.198679910408097,0.3546622996884389
Surkhet_Airport,SPEI-6,Lead 60,LSTM,0.06706812172930549,0.006327252016459946,0.07954402564907025,8.28792580618823,-1.514509102279125
